biome,mean_B,median_B,CI_lower_B,CI_upper_B,mean_p,median_p,CI_lower_p,CI_upper_p,prop_significant,mean_R,median_R,CI_lower_R,CI_upper_R,mean_lambda,median_lambda,CI_lower_lambda,CI_upper_lambda,class,variable
Flooded grasslands and savannas,0.02461515772152618,0.02915777784521434,-0.05825767464618074,0.1279039418713861,0.5036063062304331,0.5139711311771666,0.02431526499512948,0.9316309135839804,0.061855670103092786,-2.1199532990407664e-4,-0.00195940932756578,-0.0033993090972931498,0.01388351584919888,0.07662539516096002,0.08415227327406971,NA,0.3070385907490724,reptiles,specialization_spe
Mangroves,-0.024175011414574274,-0.01855054937059219,-0.0880615314354039,0.02497794334092994,0.5338013405728738,0.5546471797726693,0.04090640671849005,0.9625140458797585,0.030612244897959183,-1.8175553796068232e-4,-0.00106937720043064,-0.0016410948117883957,0.005871166473965378,0.017497405207361993,0.025361725127527775,NA,0.17096823271717929,reptiles,specialization_spe
Mediterranean forests woodlands and scrub,-0.12336004070433833,-0.13741110072999518,-0.38687898541098387,0.204886844199326,0.4657907239624019,0.45561323950355725,0.0614344157679791,0.945108639215766,0.010309278350515464,-0.0017416689575065706,-0.01604322525873274,-0.038266133240936806,0.09498537853200362,0.003680806514482553,1e-6,NA,0.5998384371926504,reptiles,specialization_spe
Montane grasslands and shrublands,-0.10129074614037888,-0.09975653722139421,-0.25419019351003125,0.03240064711711646,0.29948016845978387,0.21219496946466565,0.001697714693191214,0.8882125631760212,0.19387755102040816,0.0054214819708665995,0.00209955767161844,-0.0036708954802024928,0.032898177668895814,0.22009197946011932,0.21926610112979583,0.09322243898228122,0.43172477171185514,reptiles,specialization_spe
Temperate broadleaf & mixed forests,-0.06661686694048785,-0.06561381870611438,-0.2567325815608339,0.1425692554405793,0.5142358704589296,0.4963449271178349,0.06364323029335496,0.9355943405710718,0.030927835051546393,-0.0046644140871269415,-0.01409007823184409,-0.026843276824658348,0.06776851580984679,1e-6,1e-6,NA,0.6208139497715539,reptiles,specialization_spe
Temperate grasslands savannas and shrublands,-0.1563549843762462,-0.15158442169665554,-0.30689900317759644,-0.019582426238887063,0.23681187872788742,0.17741972885871538,0.008333930685219976,0.7136711952485948,0.1875,0.008320830571412441,0.0049730774523931605,-0.005203318539991414,0.03540770086133726,3.6465535239153025e-5,1e-6,NA,0.27410530444606523,reptiles,specialization_spe
Tropical & subtropical coniferous forests,-0.015531143042623517,-0.01779196185852555,-0.12673802455823835,0.07766350875440506,0.5746874244361271,0.5755118647978832,0.06833690812114021,0.9867052078196528,0.030927835051546393,-8.900877806096672e-4,-0.00163591292504301,-0.00238596223678318,0.005780320009349949,0.3721961655272544,0.3673093964774461,0.09841434025460771,0.6485344596196979,reptiles,specialization_spe
Tropical & subtropical dry broadleaf forests,-0.025345322490413824,-0.02588084634077109,-0.11226735891131064,0.054461136184324486,0.47027668604123435,0.44866048218154786,0.01776228907201194,0.9480350994332851,0.06060606060606061,1.0019499395267956e-4,-4.756011449318696e-4,-0.0011136467939139865,0.00515795424514419,0.3682846771856935,0.37098457697321446,0.1720620438466155,0.5624186999984393,reptiles,specialization_spe
Tropical & subtropical grasslands savannas and shrublands,-0.06501758309478098,-0.06036525863045872,-0.15391660749433517,0.013514096376216641,0.3615588760667465,0.32233629609168224,0.013753830114419585,0.9375158153661578,0.1111111111111111,0.0012032019756884585,-3.42186837152546e-5,-0.0018134330837568196,0.00922395900743503,0.1612032542414594,0.16118710030661318,0.0393657435945748,0.37742551485302434,reptiles,specialization_spe
Tropical & subtropical moist broadleaf forests,-0.05057805477346911,-0.053594958170713705,-0.1070399600815603,0.008875954677750465,0.24748584002507334,0.11619477213563223,0.0024708370970412076,0.9691281301564324,0.3163265306122449,0.0014522652623408486,0.0011094868266968581,-7.500643914549606e-4,0.006528655691523674,0.5128799250560252,0.5133336999677857,0.38533079677512044,0.6244829946150396,reptiles,specialization_spe
Deserts and xeric shrublands,0.12721465115731906,0.12051199705682727,-0.026352284228643958,0.2487957901305129,0.2671497453029976,0.19847207122377952,0.01126610436708863,0.8455731680593135,0.24489795918367346,0.008407865938605142,0.0038609525659405,-0.005623834510565813,0.03133931167638432,0.6961638460790353,0.6910406789718408,0.4192900503988685,0.8525015954085599,amphibians,specialization_3th
Flooded grasslands and savannas,-0.01773064339097038,-0.017317351443031807,-0.17542361278076335,0.18376463934399,0.5712521178486597,0.5679744229855177,0.12918563390382104,0.9823083934473966,0,-0.00301865067764645,-0.0053204703898674256,-0.007932077409680802,0.010393011895547696,1e-6,1e-6,NA,0.49262712982177265,amphibians,specialization_3th
Mangroves,-0.032719359166526574,-0.03444984727723099,-0.11266595148511342,0.05229543477965674,0.4596723134176494,0.462530089761215,0.05691816962993622,0.9515154947130848,0.020202020202020204,2.665184863623732e-4,-0.0015067438189574,-0.0032772250880067537,0.00866245181455192,1e-6,1e-6,NA,0.17158962286577978,amphibians,specialization_3th
Mediterranean forests woodlands and scrub,-0.008503117644336332,-0.00248927430522249,-0.13891549491691269,0.10530091837148636,0.6138945091459896,0.6358980911617167,0.20191744993645816,0.9806699570774264,0,-0.06587326249085665,-0.09195239600030793,-0.12490282128503016,0.09637451682094617,0.9958751302590878,1,NA,NA,amphibians,specialization_3th
Montane grasslands and shrublands,0.0460407861799491,0.04597564755447547,-0.06866837795876535,0.16279548902258723,0.5170031347814149,0.5058670321418961,0.04818581380949843,0.9406609426586958,0.030927835051546393,-0.0011717193627893796,-0.00409775085056202,-0.0073650925799840766,0.02148945240767923,0.22653610319967438,0.26614725427239455,NA,0.5696738786857654,amphibians,specialization_3th
Temperate broadleaf & mixed forests,-0.20382979811115165,-0.21250399603774103,-0.3781432077791146,-0.021704882352632977,0.2606669373959555,0.18674144329654707,0.03096214540400992,0.757556329126768,0.06060606060606061,0.033762217943763356,0.03013399741411877,-0.034580081023173524,0.1369554621002806,0.24637024497317056,0.2719906612663958,NA,0.8392154443676314,amphibians,specialization_3th
Temperate grasslands savannas and shrublands,0.19825745783398904,0.20522024689492113,-0.08432441488724315,0.44971934994731966,0.31529843095077764,0.21650889988300315,0.00735968967885138,0.923844679360707,0.20408163265306123,0.017632197658903503,0.00879687952353906,-0.01597804290700835,0.09587944988017234,0.046689569777459444,1e-6,NA,0.7301432895556391,amphibians,specialization_3th
Tropical & subtropical coniferous forests,-0.022865260354714624,-0.01726606400745188,-0.14941493856903984,0.10753705650184633,0.6153780402234901,0.6396661962970308,0.12960960430487045,0.9585048702792366,0.01020408163265306,-0.0029726987682666037,-0.004808199176715055,-0.006155955208822693,0.00803752801470805,0.5180757467568391,0.5187949605916149,0.19951341772851017,0.7937602002295254,amphibians,specialization_3th
Tropical & subtropical dry broadleaf forests,-0.013345820461879411,-0.01277543214737519,-0.1036262481948003,0.08044006283068979,0.5243136118088405,0.5621244575510302,0.060003889392460194,0.945277231534249,0.020202020202020204,-3.9918298292971797e-4,-0.00166960390713827,-0.0025067435991168443,0.006441764798592684,1e-6,1e-6,NA,0.3297020681697328,amphibians,specialization_3th
Tropical & subtropical grasslands savannas and shrublands,-0.07117406821598962,-0.06945547035660063,-0.17739952054313612,0.021390786991951672,0.36950789213542823,0.3024329850605374,0.006504267420591676,0.9402992330810018,0.1875,0.002661650520178378,1.8127663332961555e-4,-0.0027094495549043534,0.0176891311811855,0.366640750380988,0.36307575628675504,0.1122367795200847,0.6184799121701595,amphibians,specialization_3th
Tropical & subtropical moist broadleaf forests,-0.03550841160720714,-0.03355743125927836,-0.08233429097255976,0.0022634032886381015,0.3500649980391516,0.2542343517551813,0.00731857239038236,0.9694019265761744,0.1919191919191919,8.066462548698998e-4,2.3681420256951592e-4,-7.858517363110329e-4,0.00486708811121295,0.38697990935603993,0.3890516568087862,0.2504854672001439,0.5244837304207297,amphibians,specialization_3th
