term,Estimate,Std. Error,t value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,variable
(Intercept),1.1024237104610526,0.2550630595820641,4.322161399096518,1.679088379868965e-5,0.00535285025072578,0.7053372289121519,0.5835682737372238,0.7967438629828019,Mammals,int,w.marginality
log(int.age + 1),-0.05262777341141872,0.01964305128142619,-2.679205621235728,0.00748529761295602,0.00535285025072578,0.7053372289121519,0.5835682737372238,0.7967438629828019,Mammals,int,w.marginality
(Intercept),1.101432732642046,0.2555621462702249,4.309843021420782,1.7738104129749743e-5,0.00502112273999353,0.7061409270453537,0.584621384399456,0.7972999741410378,Mammals,high,w.marginality
log(high.age + 1),-0.0665172316991445,0.02552069844962753,-2.6064032624512787,0.00926847045947187,0.00502112273999353,0.7061409270453537,0.584621384399456,0.7972999741410378,Mammals,high,w.marginality
(Intercept),1.7469707326020347,0.5762435730816786,3.03165330462508,0.00248676366253253,0.0025435404030574,0.7210969554793099,0.6124931785474236,0.8034873836042425,Mammals,low,w.specialization
log(low.age + 1),-0.07432070227665068,0.03750209718506683,-1.9817745634301445,0.0477428872556116,0.0025435404030574,0.7210969554793099,0.6124931785474236,0.8034873836042425,Mammals,low,w.specialization
(Intercept),1.7502027922103924,0.5748101266136014,3.0448363923604167,0.00238115512882286,0.00308505588100853,0.720260851290157,0.611414373997858,0.8028897418026447,Mammals,int,w.specialization
log(int.age + 1),-0.09169709520169653,0.04297596467693753,-2.1336832318019963,0.03308039762942116,0.00308505588100853,0.720260851290157,0.611414373997858,0.8028897418026447,Mammals,int,w.specialization
(Intercept),1.762836459997836,0.5733770218599543,3.0744804775738013,0.00215852991722331,0.00387660312325512,0.7192256780039857,0.6100409297700534,0.8021637785588849,Mammals,high,w.specialization
log(high.age + 1),-0.13039140278687994,0.05576326805553497,-2.3383027454026255,0.01954266338250154,0.00387660312325512,0.7192256780039857,0.6100409297700534,0.8021637785588849,Mammals,high,w.specialization
