biome,species,marginality,specialization,w.marginality,w.specialization,orderName,className,familyName,genusName,redlistCategory,BSI,Estimated.age,low.age,int.age,high.age
Tropical_&_subtropical_moist_broadleaf_forests,Sapajus_robustus,2.28188929262054,7.83889445264656,2.22393916916555,12.26352815220597,PRIMATES,MAMMALIA,CEBIDAE,Sapajus,Endangered,3,1.1406578792001,1.116299524922564,1.0985691038191083,1.044108950635753
Tropical_&_subtropical_moist_broadleaf_forests,Sapajus_xanthosternos,2.5605090138397,4.86716671234222,1.5119379844316478,4.598563851654856,PRIMATES,MAMMALIA,CEBIDAE,Sapajus,Critically_Endangered,5,1.21260654410009,1.1851032796540821,1.1644860532373127,1.1013380601545586
Tropical_&_subtropical_moist_broadleaf_forests,Scapteromys_tumidus,4.87527675113835,11.8024020793206,4.43960634190138,8.798816426654462,RODENTIA,MAMMALIA,CRICETIDAE,Scapteromys,Least_Concern,3,0.999739869380187,0.9809950688701747,0.9681696838956614,0.9286515291369498
Tropical_&_subtropical_moist_broadleaf_forests,Sciurillus_pusillus,0.731307954407916,1.99614645612163,0.7965243122947337,2.3427856786983448,RODENTIA,MAMMALIA,SCIURIDAE,Sciurillus,Least_Concern,5,32.687053504,18.720011564108958,6.494315067382546,2.941778534298254
Tropical_&_subtropical_moist_broadleaf_forests,Sciurus_aestuans,0.582858598798147,1.37505681190102,0.6776704483756877,1.5040739710922175,RODENTIA,MAMMALIA,SCIURIDAE,Sciurus,Least_Concern,6,0.0982966609999885,0.09811337718160135,0.09804601417999993,0.09787197519829781
Tropical_&_subtropical_moist_broadleaf_forests,Sciurus_aureogaster,2.93839047255805,2.52486343949542,1.874240963093989,2.730036432526889,RODENTIA,MAMMALIA,SCIURIDAE,Sciurus,Least_Concern,5,0.0590369245000091,0.05897077755020175,0.05894747966094035,0.05888899444941253
Tropical_&_subtropical_moist_broadleaf_forests,Sciurus_deppei,2.1427337332748,2.24429426055297,1.621865405220351,2.1461875659610805,RODENTIA,MAMMALIA,SCIURIDAE,Sciurus,Least_Concern,5,1.78874564920002,1.7293296463838457,1.6752551029693783,1.5165754063387182
Tropical_&_subtropical_moist_broadleaf_forests,Sciurus_granatensis,1.58447441619537,1.47037965273692,2.0258092025343624,2.0168522371948416,RODENTIA,MAMMALIA,SCIURIDAE,Sciurus,Least_Concern,7,0.447631086299989,0.44384692696765615,0.4419619792381634,0.43638411965776824
Tropical_&_subtropical_moist_broadleaf_forests,Sciurus_ignitus,1.18168864291585,2.11077258849377,1.177782386365793,2.944495664869966,RODENTIA,MAMMALIA,SCIURIDAE,Sciurus,Least_Concern,5,0.773062000900002,0.7618217769657029,0.754957033344265,0.7338835270741328
Tropical_&_subtropical_moist_broadleaf_forests,Sciurus_igniventris,1.72332725311882,2.06170749174197,1.8707857702449768,2.2445116341561047,RODENTIA,MAMMALIA,SCIURIDAE,Sciurus,Least_Concern,5,1.90840292799999,1.840873033133148,1.7773591737771857,1.5932066959796152
Tropical_&_subtropical_moist_broadleaf_forests,Sciurus_oculatus,3.87810914668865,9.86005255056741,2.604822733220661,8.243271603110696,RODENTIA,MAMMALIA,SCIURIDAE,Sciurus,Least_Concern,4,0.0590369245000091,0.05897077755020175,0.05894747966094035,0.05888899444941253
Tropical_&_subtropical_moist_broadleaf_forests,Sciurus_richmondi,2.35369323446847,12.958791414931,2.3897566203961973,12.246789100272846,RODENTIA,MAMMALIA,SCIURIDAE,Sciurus,Near_Threatened,1,0.408139260199963,0.4049917854264492,0.4034688368932798,0.39900018285957567
Tropical_&_subtropical_moist_broadleaf_forests,Sciurus_spadiceus,0.799184428988724,1.75251715636687,0.8885071749408443,2.153478473475191,RODENTIA,MAMMALIA,SCIURIDAE,Sciurus,Least_Concern,5,0.192353334799983,0.19165231659725313,0.19136931436648658,0.19059761733612937
Tropical_&_subtropical_moist_broadleaf_forests,Sciurus_stramineus,2.94969526413331,2.19956060949741,3.0524410127280985,8.117337476004812,RODENTIA,MAMMALIA,SCIURIDAE,Sciurus,Least_Concern,6,3.91865322939995,3.6409521037996244,3.2733664711934467,2.453398628438819
Tropical_&_subtropical_moist_broadleaf_forests,Sciurus_variegatoides,1.4128591619648,1.87749569156756,1.5985346704828864,1.9309488183295047,RODENTIA,MAMMALIA,SCIURIDAE,Sciurus,Least_Concern,4,1.88963674319996,1.823412876490784,1.761439201526181,1.5814040634688815
Tropical_&_subtropical_moist_broadleaf_forests,Sciurus_yucatanensis,1.98660654554944,4.20370120043807,1.9144202605672829,5.5527228938911035,RODENTIA,MAMMALIA,SCIURIDAE,Sciurus,Least_Concern,4,0.982033553199995,0.9639428183248008,0.9516661950410975,0.9138336856720822
Tropical_&_subtropical_moist_broadleaf_forests,Scolomys_melanops,3.51425323331916,8.73245498318119,3.5142532333191565,8.732454983181192,RODENTIA,MAMMALIA,CRICETIDAE,Scolomys,Least_Concern,1,3.82331801728009,3.5586531203567238,3.211859102610383,2.4276984454737307
Tropical_&_subtropical_moist_broadleaf_forests,Scolomys_ucayalensis,2.53744618371841,11.3788773566688,2.537446183718413,11.37887735666881,RODENTIA,MAMMALIA,CRICETIDAE,Scolomys,Least_Concern,1,3.82331801728009,3.5586531203567238,3.211859102610383,2.4276984454737307
Tropical_&_subtropical_moist_broadleaf_forests,Scotinomys_teguina,1.78890523173711,2.07387098097352,1.3026574940872446,2.3886265416488404,RODENTIA,MAMMALIA,CRICETIDAE,Scotinomys,Least_Concern,4,2.35887644828012,2.2562823310043245,2.1488987688074173,1.8530545830025331
Tropical_&_subtropical_moist_broadleaf_forests,Scotinomys_xerampelinus,3.68064093927375,9.58877526963139,3.6806409392737542,9.588775269631386,RODENTIA,MAMMALIA,CRICETIDAE,Scotinomys,Least_Concern,1,2.35887644828012,2.2562823310043245,2.1488987688074173,1.8530545830025331
Tropical_&_subtropical_moist_broadleaf_forests,Sigmodon_alstoni,1.59300245708498,2.61527044349909,2.417580883552461,2.827466235325441,RODENTIA,MAMMALIA,CRICETIDAE,Sigmodon,Least_Concern,6,0.614300893080105,0.6071891215420536,0.6032288789459405,0.5912144670551794
Tropical_&_subtropical_moist_broadleaf_forests,Sigmodon_hirsutus,1.03471098964608,1.61862517345802,1.3694116068251554,1.7681776040182802,RODENTIA,MAMMALIA,CRICETIDAE,Sigmodon,Least_Concern,7,1.75776587628012,1.700367876067593,1.6485911676903917,1.4962013561743128
Tropical_&_subtropical_moist_broadleaf_forests,Sigmodon_inopinatus,4.57939833201177,14.1354682203539,4.667539776903043,17.868081869560086,RODENTIA,MAMMALIA,CRICETIDAE,Sigmodon,Vulnerable,2,0.614300893080105,0.6071891215420536,0.6032288789459405,0.5912144670551794
Tropical_&_subtropical_moist_broadleaf_forests,Sigmodon_leucotis,4.49934846862176,22.0205472264226,2.4304282510707593,7.078924293935953,RODENTIA,MAMMALIA,CRICETIDAE,Sigmodon,Least_Concern,4,0.228414336480031,0.2274262873517722,0.2270139057673774,0.22587091064920733
Tropical_&_subtropical_moist_broadleaf_forests,Sigmodon_mascotensis,2.73234981235977,7.68511811951948,1.5181332940865508,4.510076112327101,RODENTIA,MAMMALIA,CRICETIDAE,Sigmodon,Least_Concern,3,2.29358457922005,2.1965122677116335,2.0963242456943516,1.8181233637304515
Tropical_&_subtropical_moist_broadleaf_forests,Sigmodon_peruanus,3.97361603880402,5.0315878474471,3.2527834891912253,12.62663506624933,RODENTIA,MAMMALIA,CRICETIDAE,Sigmodon,Least_Concern,5,6.42099257318004,5.697902629546646,4.57836448491656,2.8242952450891567
Tropical_&_subtropical_moist_broadleaf_forests,Sigmodon_toltecus,2.70657646326146,2.96618930338776,2.475041565789936,3.838151857342011,RODENTIA,MAMMALIA,CRICETIDAE,Sigmodon,Least_Concern,4,1.41998618408009,1.3823693910673112,1.351895211666192,1.2596566169710404
Tropical_&_subtropical_moist_broadleaf_forests,Sigmodontomys_alfari,2.32910534206469,1.69526102719154,2.496618857914901,2.269971534880161,RODENTIA,MAMMALIA,CRICETIDAE,Sigmodontomys,Least_Concern,6,1.22807843938014,1.1998743411289825,1.1786013816938208,1.1134908340101586
Tropical_&_subtropical_moist_broadleaf_forests,Solenodon_paradoxus,1.6640954531373,8.69665444145787,2.184873605650491,10.296955996488965,EULIPOTYPHLA,MAMMALIA,SOLENODONTIDAE,Solenodon,Least_Concern,3,2.75847943670007,2.618878112988203,2.4610811753554644,2.0478108548037723
Tropical_&_subtropical_moist_broadleaf_forests,Sooretamys_angouya,3.30029627487575,4.08262183855847,2.628580990298132,3.7689206503683192,RODENTIA,MAMMALIA,CRICETIDAE,Sooretamys,Least_Concern,4,4.7252558508801,4.325459180052326,3.7573988342132303,2.6284290015661176
Tropical_&_subtropical_moist_broadleaf_forests,Sorex_macrodon,3.09083800874264,11.2116027728102,2.704861871868951,11.081501092652289,EULIPOTYPHLA,MAMMALIA,SORICIDAE,Sorex,Vulnerable,3,0.924360987300067,0.9083210745767786,0.8977312329172319,0.8650969614493249
Tropical_&_subtropical_moist_broadleaf_forests,Sorex_orizabae,3.0166534150748,4.82829474094001,2.0194503158623496,7.612969493888526,EULIPOTYPHLA,MAMMALIA,SORICIDAE,Sorex,Least_Concern,4,2.97364582610012,2.8118502517113053,2.6222992835223136,2.139873374537953
