biome,ext,mean_B,median_B,CI_lower_B,CI_upper_B,mean_p,median_p,CI_lower_p,CI_upper_p,prop_significant,mean_R,median_R,CI_lower_R,CI_upper_R,mean_lambda,median_lambda,CI_lower_lambda,CI_upper_lambda,class,variable
Temperate broadleaf & mixed forests,int,-0.06287283722161065,-0.06382663655323864,-0.12225305697255115,0.011667017041220432,0.22399246802063713,0.15448223430358665,0.009589276721033015,0.7169194197072024,0.15306122448979592,0.002958662455643986,0.002313805285352805,-0.0019457204390387378,0.012767905496676989,0.7569407880897311,0.7558776215999268,0.6061635076123826,0.8518854168599809,mammals,marginality
Temperate broadleaf & mixed forests,high,-0.09068251498218995,-0.0901412797354204,-0.17347308299778214,0.013571450388368515,0.18586332945537754,0.1278911516710466,0.004282910625330946,0.6734805073369623,0.24489795918367346,0.004061601675038769,0.00296628932656136,-0.0018450124109232625,0.016030125153691812,0.7573573133765154,0.7562312432164888,0.6069068851930645,0.8521067524280688,mammals,marginality
Temperate grasslands savannas and shrublands,low,1.661609367540117e-4,6.694582843369545e-5,-0.06314225519803957,0.044611321466399914,0.7058091431802128,0.7137815571015231,0.2664019187275165,0.9944405641338107,0,-0.011348600994257035,-0.01306871922098533,-0.015149979961958552,0.0038420412895120333,0.004981942980970719,1e-6,NA,0.6596646971375305,mammals,marginality
Temperate grasslands savannas and shrublands,int,0.012754774608938623,0.01244504319154771,-0.06649561158691841,0.06966905352080173,0.6647114671129911,0.6975476611514779,0.2635810186270979,0.9822542647670565,0,-0.01020809965250174,-0.01281345869161046,-0.01514382906751445,0.00427645757019457,0.0021280398908574516,1e-6,NA,0.6486921580390529,mammals,marginality
Temperate grasslands savannas and shrublands,high,0.03838830930938525,0.03541236192261321,-0.07323529985576394,0.1335649211782105,0.5919032442665061,0.5818289018431311,0.15518370343630813,0.9699792161408,0.010526315789473684,-0.007173585699098759,-0.01046203429825482,-0.015129336189908246,0.015710401197491328,1e-6,1e-6,NA,0.6375146462369715,mammals,marginality
Tropical & subtropical coniferous forests,low,-0.02614486258359765,-0.02622753684707302,-0.0781148221619441,0.024804436884164734,0.6162780518682475,0.6316550652838921,0.17298879000650924,0.9828577460981756,0.010101010101010102,-0.0037268362114346843,-0.00540796293278625,-0.007038194545487668,0.006118167223330183,1e-6,1e-6,NA,0.2505083975912982,mammals,marginality
Tropical & subtropical coniferous forests,int,-0.026424566573877033,-0.02770717373802167,-0.08820941022855922,0.03485343027564444,0.6268075914834564,0.6421996043661253,0.18077448135862575,0.9878519204396551,0.010101010101010102,-0.003952229725517637,-0.00550705920752712,-0.007040598569992855,0.005701520921509332,1e-6,1e-6,NA,0.2514100509820174,mammals,marginality
Tropical & subtropical coniferous forests,high,-0.025487952978881057,-0.02682804444866082,-0.11273944648560827,0.06339633526179171,0.642378604562366,0.6594260436644461,0.1920542510762821,0.9903250122512699,0.010101010101010102,-0.004282412918790961,-0.00566095434118698,-0.007041206322563751,0.0049995950373892175,1e-6,1e-6,NA,0.25453509095944904,mammals,marginality
Tropical & subtropical dry broadleaf forests,low,0.00151538937878558,-3.1699830230794146e-4,-0.04340825465450874,0.050309430383363316,0.6434325342386618,0.6976865950468505,0.16675982972404768,0.9776666401774526,0,-0.00216835246035746,-0.00299770279114781,-0.003530677244010015,0.003295483068632839,0.29867448829565185,0.300290646181855,0.032828162641046384,0.6594500792846225,mammals,marginality
Tropical & subtropical dry broadleaf forests,int,-8.20961771706275e-4,-0.00370717599452952,-0.05382976097090896,0.05941568027867068,0.6158045208660844,0.6340609177824086,0.13673631301341696,0.9696741491780835,0,-0.0019721293622992704,-0.00272895610078916,-0.0035284000656810033,0.004301746967281173,0.2993188920826318,0.30166487561540944,0.03277998682467563,0.6600498110677736,mammals,marginality
