term,Estimate,Std..Error,t.value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome
(Intercept),2.633554005685307,0.2872512411788508,9.168120544501255,0,0.003045527815277542,0.3481033553718012,0.23894913585847988,0.4633848229313673,Amphibians,int,neo_specialization
log(int.age + 1),-0.06809027454413945,0.0295987659179211,-2.300443022961068,0.021569153691047394,0.003045527815277542,0.3481033553718012,0.23894913585847988,0.4633848229313673,Amphibians,int,neo_specialization
(Intercept),2.6343016746610584,0.28841262687575586,9.133794533191082,0,0.0027214183292646283,0.34876872008452486,0.2395055690675046,0.4640783171839652,Amphibians,high,neo_specialization
log(high.age + 1),-0.07372448711878998,0.03353182844821048,-2.1986420225385737,0.028066041232447825,0.0027214183292646283,0.34876872008452486,0.2395055690675046,0.4640783171839652,Amphibians,high,neo_specialization
(Intercept),1.2615964552824204,0.16277605839523987,7.750503776293146,1.7319479184152442e-14,-1.0046783911589771e-4,0.7384678598706493,0.657372590033901,0.8027926468669383,Amphibians,low,neo_marginality
log(low.age + 1),-0.008444819508544532,0.009112341258451931,-0.9267453082611172,0.3542180622295579,-1.0046783911589771e-4,0.7384678598706493,0.657372590033901,0.8027926468669383,Amphibians,low,neo_marginality
(Intercept),1.2611720579012418,0.16269673644869076,7.7516739759495685,1.7319479184152442e-14,-1.0411012672888222e-4,0.7383927640794866,0.6572837506979706,0.8027354226601556,Amphibians,int,neo_marginality
log(int.age + 1),-0.00921314875476447,0.009971147518651208,-0.9239807893255126,0.35565508642432997,-1.0411012672888222e-4,0.7383927640794866,0.6572837506979706,0.8027354226601556,Amphibians,int,neo_marginality
(Intercept),1.2612105012146044,0.16277066716856134,7.7483893330026445,1.7763568394002505e-14,-1.2786226823878672e-4,0.73837730309042,0.6572682674498076,0.8027245511721239,Amphibians,high,neo_marginality
log(high.age + 1),-0.010168523263721328,0.011226678506543736,-0.9057463663713504,0.3652255203660184,-1.2786226823878672e-4,0.73837730309042,0.6572682674498076,0.8027245511721239,Amphibians,high,neo_marginality
(Intercept),2.6011485947574426,0.23384600183611173,11.123340037177234,0,0.001188095340446007,0.2890591657966408,0.18932709081340218,0.40306724289186346,Amphibians,low,neo_specialization
log(low.age + 1),-0.043554564895892614,0.026648675845277487,-1.6343988402564882,0.10239931185833018,0.001188095340446007,0.2890591657966408,0.18932709081340218,0.40306724289186346,Amphibians,low,neo_specialization
(Intercept),2.5959764728488226,0.23447361313971982,11.07150795386905,0,9.613549577041541e-4,0.289853042715312,0.18999269849204342,0.4038855069195026,Amphibians,int,neo_specialization
log(int.age + 1),-0.04504703066169577,0.029372924567935346,-1.533624292586476,0.12534740252105125,9.613549577041541e-4,0.289853042715312,0.18999269849204342,0.4038855069195026,Amphibians,int,neo_specialization
(Intercept),2.5920085910716155,0.23562181538465524,11.000715646130358,0,7.092739497877674e-4,0.29059008571647843,0.19059698458471092,0.4046597213459362,Amphibians,high,neo_specialization
log(high.age + 1),-0.047037570197550616,0.033283581656620785,-1.4132364323895978,0.1578078745270297,7.092739497877674e-4,0.29059008571647843,0.19059698458471092,0.4046597213459362,Amphibians,high,neo_specialization
(Intercept),1.2751254415606064,0.16783062642664043,7.597692201416944,5.484501741648273e-14,0.0010816292844155967,0.734162358911771,0.6553671048451659,0.7969417840682865,Amphibians,low,neo_marginality
log(low.age + 1),-0.01458001282984665,0.009182113541869989,-1.5878711108681574,0.11254064693334964,0.0010816292844155967,0.734162358911771,0.6553671048451659,0.7969417840682865,Amphibians,low,neo_marginality
(Intercept),1.2745286952302046,0.16781064804692566,7.595040660791693,5.595524044110789e-14,0.0010808567170635947,0.7342679841530658,0.6555067009747518,0.7970220017755177,Amphibians,int,neo_marginality
log(int.age + 1),-0.01582588622377048,0.009968882985527268,-1.5875285372239152,0.11261815291334853,0.0010808567170635947,0.7342679841530658,0.6555067009747518,0.7970220017755177,Amphibians,int,neo_marginality
(Intercept),1.2748441173551974,0.16788332755632532,7.593631457700788,5.639932965095795e-14,0.0010765659951416024,0.7343933639077191,0.6556656831343641,0.7971212931797824,Amphibians,high,neo_marginality
log(high.age + 1),-0.017676426648226877,0.01114792661052218,-1.5856245978102017,0.11304967983279379,0.0010765659951416024,0.7343933639077191,0.6556656831343641,0.7971212931797824,Amphibians,high,neo_marginality
(Intercept),2.6149023515515117,0.27903866445538694,9.371111192261264,0,0.0012626038550387682,0.37393508582045176,0.2577571583529969,0.49570666639432387,Amphibians,low,neo_specialization
log(low.age + 1),-0.04490793747109059,0.026952412937248937,-1.6661935825800092,0.09589792615629755,0.0012626038550387682,0.37393508582045176,0.2577571583529969,0.49570666639432387,Amphibians,low,neo_specialization
(Intercept),2.607402618157672,0.27947679076053916,9.329585512493388,0,9.923712277886388e-4,0.37464553726037075,0.2584146173431309,0.496385919412671,Amphibians,int,neo_specialization
log(int.age + 1),-0.04554608017219128,0.029426446319363534,-1.5477941059508946,0.12189724076451602,9.923712277886388e-4,0.37464553726037075,0.2584146173431309,0.496385919412671,Amphibians,int,neo_specialization
(Intercept),2.604229506799374,0.2801920967624715,9.294443122737574,0,8.12619587235653e-4,0.37524007501599455,0.2589715523228057,0.4969507487259017,Amphibians,high,neo_specialization
log(high.age + 1),-0.048408315740743925,0.033070703689484324,-1.4637824521446934,0.14347724343809842,8.12619587235653e-4,0.37524007501599455,0.2589715523228057,0.4969507487259017,Amphibians,high,neo_specialization
(Intercept),1.2735810377190349,0.17763369214254088,7.169704251246768,1.2112533198660458e-12,6.575563746137288e-4,0.7279715076818954,0.650007177605292,0.7900991403550996,Amphibians,low,neo_marginality
log(low.age + 1),-0.012455127368006635,0.008978258001956828,-1.3872543387917808,0.16558438549527077,6.575563746137288e-4,0.7279715076818954,0.650007177605292,0.7900991403550996,Amphibians,low,neo_marginality
(Intercept),1.2697343542264552,0.1777063369915742,7.145127043424786,1.439737218333903e-12,3.794563584882734e-4,0.728250787529284,0.6503553127173944,0.7903172812776803,Amphibians,int,neo_marginality
log(int.age + 1),-0.012090414389005282,0.009763873794515758,-1.238280486152567,0.21581908234552105,3.794563584882734e-4,0.728250787529284,0.6503553127173944,0.7903172812776803,Amphibians,int,neo_marginality
(Intercept),1.2661269124869359,0.17787771483479534,7.117962548950309,1.7419399256368706e-12,8.687759843279044e-5,0.7285321108607478,0.6507066441966093,0.790536820168833,Amphibians,high,neo_marginality
log(high.age + 1),-0.011568609860706354,0.010921203432440612,-1.0592797700611152,0.28965458546428646,8.687759843279044e-5,0.7285321108607478,0.6507066441966093,0.790536820168833,Amphibians,high,neo_marginality
(Intercept),2.653025491673424,0.2953558717079385,8.982470794746408,0,0.004704036249620528,0.37729837489632495,0.2616764148968119,0.49637738648643864,Amphibians,low,neo_specialization
log(low.age + 1),-0.07272920875562142,0.026311802306604078,-2.7641287323509154,0.005782117991228075,0.004704036249620528,0.37729837489632495,0.2616764148968119,0.49637738648643864,Amphibians,low,neo_specialization
(Intercept),2.645791965122142,0.29615283800732056,8.933873411190277,0,0.0042045623477745655,0.3785541223789006,0.2627389701867568,0.4976321773846004,Amphibians,int,neo_specialization
log(int.age + 1),-0.07577831634011742,0.028780916250741525,-2.632936202584066,0.008557927174527524,0.0042045623477745655,0.3785541223789006,0.2627389701867568,0.4976321773846004,Amphibians,int,neo_specialization
(Intercept),2.6454795072026367,0.2971610627428628,8.9025105873033,0,0.003878068474451652,0.37954580822465195,0.2635834470886591,0.4986234307803005,Amphibians,high,neo_specialization
log(high.age + 1),-0.08231293384456076,0.032360806445120564,-2.5435995850150417,0.011078138316078734,0.003878068474451652,0.37954580822465195,0.2635834470886591,0.4986234307803005,Amphibians,high,neo_specialization
(Intercept),1.331489752429568,0.1716223565483809,7.758253523655682,1.6431300764452317e-14,0.0065198579316676705,0.7338458151585009,0.6574102073874833,0.7948058837813333,Amphibians,low,neo_marginality
log(low.age + 1),-0.029559489451878557,0.009246140731044005,-3.1969543090159003,0.0014198202493602707,0.0065198579316676705,0.7338458151585009,0.6574102073874833,0.7948058837813333,Amphibians,low,neo_marginality
(Intercept),1.3253385035881495,0.1716840420975529,7.719637115924127,2.19824158875781e-14,0.005798695599923669,0.7341523037426723,0.6577505673986089,0.7950675301429743,Amphibians,int,neo_marginality
log(int.age + 1),-0.030514967597311572,0.010063393767567349,-3.032274032211306,0.0024716697730806647,0.005798695599923669,0.7341523037426723,0.6577505673986089,0.7950675301429743,Amphibians,int,neo_marginality
(Intercept),1.3206439979126292,0.17196666050207182,7.679651358332439,2.9753977059954195e-14,0.004806938947206104,0.7345886643511917,0.6582482346234508,0.7954326249188378,Amphibians,high,neo_marginality
