term,Estimate,Std. Error,t value,Pr(>|t|),adj.r.squared,lambda,lam_low,lam_up,class,ext,biome
log(high.age + 1),-0.02113901205008069,0.00956540196908315,-2.2099449786224588,0.02727004529452692,0.00276060940620063,0.7456990478779812,0.675546621240948,0.8024599917781309,amphibians,high,neo_marginality
(Intercept),2.222860207639396,0.2709282439194304,8.20460862803377,4.440892098500626e-16,0.00106843656324241,0.3993073969575362,0.2818720162584616,0.5193507021057132,amphibians,high,neo_specialization
log(high.age + 1),-0.04911586738803206,0.03105975201685388,-1.5813348207474558,0.11402705693725013,0.00106843656324241,0.3993073969575362,0.2818720162584616,0.5193507021057132,amphibians,high,neo_specialization
(Intercept),1.1248244337832531,0.17066785715713967,6.590722192917611,6.178724198946384e-11,-3.409063157369767e-4,0.7691067413161661,0.7003819405252719,0.8229484295105369,amphibians,high,neo_marginality
log(high.age + 1),-0.0069881689235339,0.00967345534202977,-0.722406697136577,0.4701649488695805,-3.409063157369767e-4,0.7691067413161661,0.7003819405252719,0.8229484295105369,amphibians,high,neo_marginality
(Intercept),2.2615936820755818,0.3246592757034067,6.966052878592837,4.997335878442755e-12,0.00244056295799084,0.4589492289282012,0.3301880246344517,0.5815137082955194,amphibians,high,neo_specialization
log(high.age + 1),-0.06574366440192313,0.03122699331111031,-2.1053472470733214,0.03543858704374392,0.00244056295799084,0.4589492289282012,0.3301880246344517,0.5815137082955194,amphibians,high,neo_specialization
(Intercept),1.1628930730437714,0.1698787670583165,6.845429203312795,1.1367129459927128e-11,0.00299931175088583,0.7924415438542809,0.7268503383348055,0.843329735289434,amphibians,high,neo_marginality
log(high.age + 1),-0.02155131239223675,0.00943212659364738,-2.284883708701678,0.02246844798087854,0.00299931175088583,0.7924415438542809,0.7268503383348055,0.843329735289434,amphibians,high,neo_marginality
(Intercept),2.2336431340348266,0.2940196282871925,7.596918433802823,5.506706202140776e-14,9.194795615031162e-4,0.41499753881309903,0.289867753853479,0.5404421171481979,amphibians,high,neo_specialization
log(high.age + 1),-0.04626999516454488,0.03056795151075954,-1.5136766736972354,0.1303332520005802,9.194795615031162e-4,0.41499753881309903,0.289867753853479,0.5404421171481979,amphibians,high,neo_specialization
(Intercept),1.1435918171111954,0.154910612705222,7.382269020440361,2.6578739209526253e-13,7.607285374699373e-4,0.7731550598254894,0.7042537292762884,0.8273890481902759,amphibians,high,neo_marginality
log(high.age + 1),-0.01352163822018678,0.00940247100647299,-1.4380941149276625,0.15063052184605907,7.607285374699373e-4,0.7731550598254894,0.7042537292762884,0.8273890481902759,amphibians,high,neo_marginality
(Intercept),2.251162093028078,0.2705055458927442,8.322055230322954,2.220446049250313e-16,0.00150196785685756,0.3907950192837067,0.26964860377253635,0.5147120843155999,amphibians,high,neo_specialization
log(high.age + 1),-0.05395850626797598,0.03059494336247389,-1.7636413190474665,0.07801016782852255,0.00150196785685756,0.3907950192837067,0.26964860377253635,0.5147120843155999,amphibians,high,neo_specialization
(Intercept),1.1246492118513731,0.16003167372834778,7.027666371598753,3.2680524952866108e-12,-5.170151042437268e-4,0.7522590238525046,0.6815095876011884,0.8085634145682598,amphibians,high,neo_marginality
log(high.age + 1),-0.00492130997935724,0.00938452480836261,-0.5244069443955036,0.6000784259673835,-5.170151042437268e-4,0.7522590238525046,0.6815095876011884,0.8085634145682598,amphibians,high,neo_marginality
(Intercept),2.1919052751620023,0.32643830468164076,6.714608070580626,2.7315483208667498e-11,1.099421959716476e-4,0.4740467283282719,0.3454179475175349,0.5946872704806434,amphibians,high,neo_specialization
log(high.age + 1),-0.03262481515007531,0.03036652765327552,-1.0743676564731035,0.2828427990337614,1.099421959716476e-4,0.4740467283282719,0.3454179475175349,0.5946872704806434,amphibians,high,neo_specialization
(Intercept),1.1386728825855372,0.14309683840137596,7.957358774004808,3.552713678800501e-15,7.911337617209417e-4,0.7234182901685343,0.6459152778758092,0.7859428308206986,amphibians,high,neo_marginality
