term,Estimate,Std. Error,t value,p_value,adj.r.squared,lambda,lam_low,lam_up,class,ext,biome,variable
Beta,0.01622079032038748,0.06596767108107932,0.24588999512277593,0.8060522876620291,-0.00530631231993291,1e-6,NA,0.5292291173597213,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.02319655155364142,0.07442003024118002,0.3116976905070606,0.7556371249715854,-0.00509801835854965,1e-6,NA,0.5270706647814433,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.03335303653858368,0.0862310101432793,0.3867870326830812,0.6993784921522028,-0.00480043856234948,1e-6,NA,0.5242836893025012,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.04281795906438557,0.07387787529726454,0.5795775648947362,0.562936482708934,-0.00374481313849498,1e-6,NA,0.5494965965702241,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.04484398508444531,0.08102977593900204,0.5534260037717884,0.5806701198565074,-0.0039125498375598,1e-6,NA,0.5498682372007431,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.04658200443664651,0.09218199094389136,0.5053265172478179,0.6139581761745854,-0.00420097385171987,1e-6,NA,0.5506048622824133,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.1438160824090415,0.0723622641850451,1.9874458604732768,0.04841525091618903,0.01630252561135068,1e-6,NA,0.5097174187184998,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.1669998089654854,0.07971238911374488,2.0950295283106684,0.03759158573919419,0.01868440724445581,1e-6,NA,0.5111121195832237,amphibians,int,Deserts_and_xeric_shrublands,specialization
Beta,0.19164831998957063,0.0901501978104192,2.1258779752496637,0.03489997296563763,0.01938832982115438,1e-6,NA,0.5148932652100456,amphibians,high,Deserts_and_xeric_shrublands,specialization
Beta,0.00913357241192525,0.07234980478316426,0.12624183906644937,0.8996837795272583,-0.0055591774093104096,1e-6,NA,0.5763724012800564,amphibians,low,Deserts_and_xeric_shrublands,specialization
Beta,0.01398344067460222,0.08063497343149771,0.1734165719851282,0.8625221615714673,-0.00547888092932384,1e-6,NA,0.5764653487785102,amphibians,int,Deserts_and_xeric_shrublands,specialization
